iter	Passed	Remaining
464	748	861
465	750	859
466	751	857
467	752	855
468	753	853
469	754	851
470	755	849
471	757	847
472	758	845
473	759	842
474	760	840
475	761	838
476	762	836
477	763	834
478	765	832
479	766	830
480	767	827
481	768	825
482	769	823
483	770	821
484	772	820
485	773	818
486	774	816
487	775	813
488	777	811
489	778	809
490	779	807
491	780	805
492	781	803
493	782	801
494	783	799
495	784	797
496	786	795
497	787	793
498	788	791
499	790	790
500	791	788
501	792	786
502	793	784
503	795	782
504	796	780
505	798	779
506	799	777
507	800	775
508	802	774
509	804	772
510	805	770
511	806	769
512	808	767
513	809	765
514	811	763
515	812	761
516	813	760
517	814	758
518	816	756
519	817	754
520	818	752
521	820	751
522	821	749
523	822	747
524	823	745
525	825	743
526	826	741
527	827	739
528	828	737
529	829	736
530	831	734
531	832	732
532	834	730
533	835	728
534	836	726
535	837	725
536	838	723
537	840	721
538	841	719
539	842	717
540	843	715
541	844	713
542	846	712
543	847	710
544	848	708
545	850	706
546	851	705
547	852	703
548	853	701
549	855	699
550	856	698
551	858	696
552	859	694
553	860	693
554	862	691
555	863	689
556	864	687
557	866	686
558	867	684
559	869	682
560	870	681
561	872	679
562	873	678
563	874	676
564	876	674
565	877	673
566	879	671
567	880	669
568	881	667
569	882	666
570	884	664
571	885	662
572	886	660
573	888	659
574	889	657
575	890	655
576	892	653
577	893	652
578	894	650
579	895	648
580	897	646
581	898	645
582	899	643
583	901	641
584	902	640
585	903	638
586	904	636
587	906	634
588	907	633
589	909	631
590	910	630
591	911	628
592	913	626
593	914	625
594	915	623
595	917	621
596	918	620
597	919	618
598	921	616
599	922	615
600	924	613
601	925	611
602	926	610
603	927	608
604	929	606
605	930	604
606	931	603
607	933	601
608	934	599
609	935	598
610	937	596
611	938	595
612	940	593
613	941	591
614	942	589
615	943	588
616	944	586
617	945	584
618	946	582
619	948	581
620	949	579
621	950	577
622	952	576
623	953	574
624	954	572
625	955	571
626	957	569
627	958	567
628	959	566
629	961	564
630	962	562
631	963	561
632	965	559
633	966	558
634	968	556
635	969	554
636	970	553
637	971	551
638	973	549
639	974	548
640	975	546
641	976	544
642	978	542
643	979	541
644	980	539
645	982	538
646	983	536
647	984	534
648	985	533
649	986	531
650	987	529
651	988	527
652	990	526
653	991	524
654	992	522
655	993	521
656	994	519
657	996	517
658	997	516
659	998	514
660	999	512
661	1000	511
662	1002	509
663	1003	507
664	1004	505
665	1005	504
666	1006	502
667	1007	500
668	1009	499
669	1010	497
670	1012	496
671	1013	494
672	1014	493
673	1016	491
674	1017	489
675	1018	488
676	1019	486
677	1021	484
678	1022	483
679	1023	481
680	1024	480
681	1026	478
682	1027	476
683	1028	475
684	1030	473
685	1031	472
686	1032	470
687	1033	468
688	1034	467
689	1035	465
690	1037	463
691	1038	462
692	1039	460
693	1041	459
694	1042	457
695	1043	455
696	1044	454
697	1046	452
698	1047	450
699	1048	449
700	1049	447
701	1050	446
702	1052	444
703	1053	442
704	1054	441
705	1055	439
706	1057	438
707	1058	436
708	1059	435
709	1061	433
710	1062	431
711	1063	430
712	1064	428
713	1066	427
714	1067	425
715	1068	423
716	1070	422
717	1071	420
718	1073	419
719	1074	417
720	1075	416
721	1077	414
722	1078	413
723	1079	411
724	1081	410
725	1082	408
726	1083	406
727	1085	405
728	1086	403
729	1087	402
730	1088	400
731	1090	399
732	1091	397
733	1092	395
734	1093	394
735	1095	392
736	1096	391
737	1097	389
738	1099	388
739	1100	386
740	1102	385
741	1103	383
742	1104	382
743	1105	380
744	1107	378
745	1108	377
746	1109	375
747	1111	374
748	1112	372
749	1114	371
750	1115	369
751	1116	368
752	1118	366
753	1119	365
754	1120	363
755	1122	362
756	1123	360
757	1124	359
758	1125	357
759	1127	355
760	1128	354
761	1129	352
762	1131	351
763	1132	349
764	1133	348
765	1134	346
766	1136	345
767	1137	343
768	1139	342
769	1140	340
770	1141	339
771	1143	337
772	1144	336
773	1146	334
774	1147	333
775	1148	331
776	1149	330
777	1150	328
778	1152	326
779	1153	325
780	1154	323
781	1155	322
782	1156	320
783	1158	319
784	1159	317
785	1160	316
786	1162	314
787	1163	312
788	1164	311
789	1165	309
790	1166	308
791	1167	306
792	1169	305
793	1170	303
794	1171	302
795	1172	300
796	1173	298
797	1175	297
798	1176	295
799	1177	294
800	1179	292
801	1180	291
802	1181	289
803	1182	288
804	1183	286
805	1184	285
806	1186	283
807	1187	282
808	1188	280
809	1189	279
810	1191	277
811	1192	276
812	1193	274
813	1194	272
814	1195	271
815	1196	269
816	1197	268
817	1199	266
818	1200	265
819	1201	263
820	1202	262
821	1203	260
822	1205	259
823	1206	257
824	1207	256
825	1208	254
826	1209	253
827	1211	251
828	1212	250
829	1213	248
830	1214	247
831	1215	245
832	1216	243
833	1218	242
834	1219	241
835	1221	239
836	1222	238
837	1223	236
838	1224	235
839	1226	233
840	1227	232
841	1228	230
842	1230	229
843	1231	227
844	1232	226
845	1234	224
846	1235	223
847	1236	221
848	1238	220
849	1239	218
850	1241	217
851	1242	215
852	1243	214
853	1244	212
854	1246	211
855	1247	209
856	1249	208
857	1250	206
858	1251	205
859	1253	204
860	1254	202
861	1255	201
862	1257	199
863	1258	198
864	1259	196
865	1260	195
866	1261	193
867	1262	192
868	1264	190
869	1265	189
870	1266	187
871	1268	186
872	1269	184
873	1270	183
874	1271	181
875	1272	180
876	1274	178
877	1275	177
878	1276	175
879	1277	174
880	1279	172
881	1280	171
882	1282	169
883	1283	168
884	1284	166
885	1285	165
886	1287	163
887	1288	162
888	1289	161
889	1290	159
890	1291	158
891	1293	156
892	1294	155
893	1296	153
894	1297	152
895	1298	150
896	1299	149
897	1301	147
898	1302	146
899	1303	144
900	1304	143
901	1306	141
902	1307	140
903	1308	138
904	1310	137
905	1311	136
906	1312	134
907	1314	133
908	1315	131
909	1316	130
910	1317	128
911	1319	127
912	1320	125
913	1321	124
914	1322	122
915	1324	121
916	1325	119
917	1327	118
918	1328	117
919	1329	115
920	1330	114
921	1331	112
922	1333	111
923	1334	109
924	1335	108
925	1336	106
926	1337	105
927	1339	103
928	1340	102
929	1341	101
930	1343	99
931	1344	98
932	1345	96
933	1346	95
934	1348	93
935	1349	92
936	1350	90
937	1351	89
938	1352	87
939	1354	86
940	1355	84
941	1356	83
942	1358	82
943	1359	80
944	1360	79
945	1361	77
946	1362	76
947	1364	74
948	1365	73
949	1366	71
950	1367	70
951	1369	69
952	1370	67
953	1371	66
954	1372	64
955	1374	63
956	1375	61
957	1376	60
958	1377	58
959	1379	57
960	1380	56
961	1381	54
962	1382	53
963	1384	51
964	1385	50
965	1386	48
966	1387	47
967	1389	45
968	1390	44
969	1391	43
970	1392	41
971	1394	40
972	1395	38
973	1396	37
974	1397	35
975	1399	34
976	1400	32
977	1401	31
978	1403	30
979	1404	28
980	1405	27
981	1406	25
982	1408	24
983	1409	22
984	1410	21
985	1411	20
986	1412	18
987	1414	17
988	1415	15
989	1417	14
990	1418	12
991	1419	11
992	1420	10
993	1422	8
994	1423	7
995	1424	5
996	1425	4
997	1427	2
998	1428	1
999	1430	0
